Sample in Buffer,Sample in Window,TRIGGER,CPU/datapath/RegisterFile/output[4]_3[31:0],CPU/datapath/RegisterFile/output[0]_7[31:0],CPU/datapath/RegisterFile/output[6]_1[31:0],CPU/datapath/RegisterFile/output[7]_0[31:0],CPU/datapath/AdressI[31:0],CPU/datapath/RegisterFile/output[1]_6[31:0],CPU/datapath/RegisterFile/output[2]_5[31:0],CPU/datapath/RegisterFile/output[5]_2[31:0],CPU/datapath/RegisterFile/output[3]_4[31:0],CPU/datapath/PC_out[31:0],CPU/I_line[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000418,00000000,1800fdf4,000003c2,00000392,08000280,0000001e,00000002,00000000,0000038e,f9fd
1,1,0,00000418,00000000,1800fdf4,000003c2,0000038e,08000280,0000001e,00000002,00000000,00000390,f9fd
2,2,0,00000418,00000000,1800fdf4,000003c2,0000038e,08000280,0000001e,00000002,00000000,00000390,0508
3,3,0,00000418,00000000,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
4,4,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
5,5,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
6,6,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
7,7,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
8,8,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
9,9,0,00000418,00000060,1800fdf4,000003c2,00000390,08000280,0000001e,00000002,00000000,00000392,0508
10,10,0,00000418,00000060,1800fdf4,000003c2,00000390,08000280,0000001e,00000002,00000000,00000392,c808
11,11,0,00000418,00000000,1800fdf4,000003c2,00000390,08000280,0000001e,00000002,00000000,00000392,c808
12,12,0,00000418,00000000,1800fdf4,000003c2,00000392,08000280,0000001e,00000002,00000000,00000394,c808
13,13,0,00000418,00000000,1800fdf4,000003c2,00000392,08000280,0000001e,00000002,00000000,00000394,f9fd
14,14,0,00000418,00000000,1800fdf4,000003c2,00000392,08000280,0000001e,00000002,00000000,0000038e,f9fd
15,15,0,00000418,00000000,1800fdf4,000003c2,0000038e,08000280,0000001e,00000002,00000000,00000390,f9fd
16,16,0,00000418,00000000,1800fdf4,000003c2,0000038e,08000280,0000001e,00000002,00000000,00000390,0508
17,17,0,00000418,00000000,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
18,18,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
19,19,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
20,20,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
21,21,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
22,22,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
23,23,0,00000418,00000060,1800fdf4,000003c2,00000390,08000280,0000001e,00000002,00000000,00000392,0508
24,24,0,00000418,00000060,1800fdf4,000003c2,00000390,08000280,0000001e,00000002,00000000,00000392,c808
25,25,0,00000418,00000000,1800fdf4,000003c2,00000390,08000280,0000001e,00000002,00000000,00000392,c808
26,26,0,00000418,00000000,1800fdf4,000003c2,00000392,08000280,0000001e,00000002,00000000,00000394,c808
27,27,0,00000418,00000000,1800fdf4,000003c2,00000392,08000280,0000001e,00000002,00000000,00000394,f9fd
28,28,0,00000418,00000000,1800fdf4,000003c2,00000392,08000280,0000001e,00000002,00000000,0000038e,f9fd
29,29,0,00000418,00000000,1800fdf4,000003c2,0000038e,08000280,0000001e,00000002,00000000,00000390,f9fd
30,30,0,00000418,00000000,1800fdf4,000003c2,0000038e,08000280,0000001e,00000002,00000000,00000390,0508
31,31,0,00000418,00000000,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
32,32,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
33,33,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
34,34,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
35,35,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
36,36,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
37,37,0,00000418,00000060,1800fdf4,000003c2,00000390,08000280,0000001e,00000002,00000000,00000392,0508
38,38,0,00000418,00000060,1800fdf4,000003c2,00000390,08000280,0000001e,00000002,00000000,00000392,c808
39,39,0,00000418,00000000,1800fdf4,000003c2,00000390,08000280,0000001e,00000002,00000000,00000392,c808
40,40,0,00000418,00000000,1800fdf4,000003c2,00000392,08000280,0000001e,00000002,00000000,00000394,c808
41,41,0,00000418,00000000,1800fdf4,000003c2,00000392,08000280,0000001e,00000002,00000000,00000394,f9fd
42,42,0,00000418,00000000,1800fdf4,000003c2,00000392,08000280,0000001e,00000002,00000000,0000038e,f9fd
43,43,0,00000418,00000000,1800fdf4,000003c2,0000038e,08000280,0000001e,00000002,00000000,00000390,f9fd
44,44,0,00000418,00000000,1800fdf4,000003c2,0000038e,08000280,0000001e,00000002,00000000,00000390,0508
45,45,0,00000418,00000000,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
46,46,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
47,47,0,00000418,00000060,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
48,48,0,00000418,00000061,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
49,49,0,00000418,00000061,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
50,50,0,00000418,00000061,1800fdf4,000003c2,08000285,08000280,0000001e,00000002,00000000,00000390,0508
51,51,0,00000418,00000061,1800fdf4,000003c2,00000390,08000280,0000001e,00000002,00000000,00000392,0508
52,52,0,00000418,00000061,1800fdf4,000003c2,00000390,08000280,0000001e,00000002,00000000,00000392,c808
53,53,0,00000418,00000001,1800fdf4,000003c2,00000390,08000280,0000001e,00000002,00000000,00000392,c808
54,54,0,00000418,00000001,1800fdf4,000003c2,00000392,08000280,0000001e,00000002,00000000,00000394,c808
55,55,0,00000418,00000001,1800fdf4,000003c2,00000392,08000280,0000001e,00000002,00000000,00000394,f9fd
56,56,0,00000418,00000001,1800fdf4,000003c2,00000392,08000280,0000001e,00000002,00000000,00000394,f9fd
57,57,0,00000418,00000001,1800fdf4,000003c2,00000394,08000280,0000001e,00000002,00000000,00000396,f9fd
58,58,0,00000418,00000001,1800fdf4,000003c2,00000394,08000280,0000001e,00000002,00000000,00000396,0008
59,59,0,00000418,00000000,1800fdf4,000003c2,08000280,08000280,0000001e,00000002,00000000,00000396,0008
60,60,0,00000418,00000061,1800fdf4,000003c2,08000280,08000280,0000001e,00000002,00000000,00000396,0008
61,61,0,00000418,00000044,1800fdf4,000003c2,08000280,08000280,0000001e,00000002,00000000,00000396,0008
62,62,0,00000418,00000044,1800fdf4,000003c2,08000280,08000280,0000001e,00000002,00000000,00000396,0008
63,63,0,00000418,00000044,1800fdf4,000003c2,08000280,08000280,0000001e,00000002,00000000,00000396,0008
64,64,0,00000418,00000044,1800fdf4,000003c2,08000280,08000280,0000001e,00000002,00000000,00000396,0008
65,65,0,00000418,00000044,1800fdf4,000003c2,00000396,08000280,0000001e,00000002,00000000,00000398,0008
66,66,0,00000418,00000044,1800fdf4,000003c2,00000396,08000280,0000001e,00000002,00000000,00000398,a736
67,67,0,00000418,00000044,1800fdf0,000003c2,00000396,08000280,0000001e,00000002,00000000,00000398,a736
68,68,0,00000418,00000044,1800fdf0,000003c2,00000398,08000280,0000001e,00000002,00000000,0000039a,a736
69,69,0,00000418,00000044,1800fdf0,000003c2,00000398,08000280,0000001e,00000002,00000000,0000039a,40b7
70,70,0,00000418,00000044,1800fdf0,000003c2,1800fdf0,08000280,0000001e,00000002,00000000,0000039a,40b7
71,71,0,00000418,00000044,1800fdf0,000003c2,1800fdf0,08000280,0000001e,00000002,00000000,0000039a,40b7
72,72,0,00000418,00000044,1800fdf0,000003c2,1800fdf0,08000280,0000001e,00000002,00000000,0000039a,40b7
73,73,0,00000418,00000044,1800fdf0,000003c2,0000039a,08000280,0000001e,00000002,00000000,0000039c,40b7
74,74,0,00000418,00000044,1800fdf0,000003c2,0000039a,08000280,0000001e,00000002,00000000,0000039c,a736
75,75,0,00000418,00000044,1800fdec,000003c2,0000039a,08000280,0000001e,00000002,00000000,0000039c,a736
76,76,0,00000418,00000044,1800fdec,000003c2,0000039c,08000280,0000001e,00000002,00000000,0000039e,a736
77,77,0,00000418,00000044,1800fdec,000003c2,0000039c,08000280,0000001e,00000002,00000000,0000039e,40b0
78,78,0,00000418,00000044,1800fdec,000003c2,1800fdec,08000280,0000001e,00000002,00000000,0000039e,40b0
79,79,0,00000418,00000044,1800fdec,000003c2,1800fdec,08000280,0000001e,00000002,00000000,0000039e,40b0
80,80,0,00000418,00000044,1800fdec,000003c2,1800fdec,08000280,0000001e,00000002,00000000,0000039e,40b0
81,81,0,00000418,00000044,1800fdec,000003c2,0000039e,08000280,0000001e,00000002,00000000,000003a0,40b0
82,82,0,00000418,00000044,1800fdec,000003c2,0000039e,08000280,0000001e,00000002,00000000,000003a0,023f
83,83,0,00000418,00000044,1800fdec,00000000,000003b0,08000280,0000001e,00000002,00000000,000003a0,023f
84,84,0,00000418,00000044,1800fdec,000002dc,000003b0,08000280,0000001e,00000002,00000000,000003a0,023f
85,85,0,00000418,00000044,1800fdec,000002dc,000003b0,08000280,0000001e,00000002,00000000,000003a0,023f
86,86,0,00000418,00000044,1800fdec,000002dc,000003a0,08000280,0000001e,00000002,00000000,000003a2,023f
87,87,0,00000418,00000044,1800fdec,000002dc,000003a0,08000280,0000001e,00000002,00000000,000003a2,e007
88,88,0,00000418,00000044,1800fdec,000003a2,000003a0,08000280,0000001e,00000002,00000000,000002dc,e007
89,89,0,00000418,00000044,1800fdec,000003a2,000002dc,08000280,0000001e,00000002,00000000,000002de,e007
90,90,0,00000418,00000044,1800fdec,000003a2,000002dc,08000280,0000001e,00000002,00000000,000002de,a736
91,91,0,00000418,00000044,1800fde8,000003a2,000002dc,08000280,0000001e,00000002,00000000,000002de,a736
92,92,0,00000418,00000044,1800fde8,000003a2,000002de,08000280,0000001e,00000002,00000000,000002e0,a736
93,93,0,00000418,00000044,1800fde8,000003a2,000002de,08000280,0000001e,00000002,00000000,000002e0,40b4
94,94,0,00000418,00000044,1800fde8,000003a2,1800fde8,08000280,0000001e,00000002,00000000,000002e0,40b4
95,95,0,00000418,00000044,1800fde8,000003a2,1800fde8,08000280,0000001e,00000002,00000000,000002e0,40b4
96,96,0,00000418,00000044,1800fde8,000003a2,1800fde8,08000280,0000001e,00000002,00000000,000002e0,40b4
97,97,0,00000418,00000044,1800fde8,000003a2,000002e0,08000280,0000001e,00000002,00000000,000002e2,40b4
98,98,0,00000418,00000044,1800fde8,000003a2,000002e0,08000280,0000001e,00000002,00000000,000002e2,a736
99,99,0,00000418,00000044,1800fde4,000003a2,000002e0,08000280,0000001e,00000002,00000000,000002e2,a736
100,100,0,00000418,00000044,1800fde4,000003a2,000002e2,08000280,0000001e,00000002,00000000,000002e4,a736
101,101,0,00000418,00000044,1800fde4,000003a2,000002e2,08000280,0000001e,00000002,00000000,000002e4,40b3
102,102,0,00000418,00000044,1800fde4,000003a2,1800fde4,08000280,0000001e,00000002,00000000,000002e4,40b3
103,103,0,00000418,00000044,1800fde4,000003a2,1800fde4,08000280,0000001e,00000002,00000000,000002e4,40b3
104,104,0,00000418,00000044,1800fde4,000003a2,1800fde4,08000280,0000001e,00000002,00000000,000002e4,40b3
105,105,0,00000418,00000044,1800fde4,000003a2,000002e4,08000280,0000001e,00000002,00000000,000002e6,40b3
106,106,0,00000418,00000044,1800fde4,000003a2,000002e4,08000280,0000001e,00000002,00000000,000002e6,a736
107,107,0,00000418,00000044,1800fde0,000003a2,000002e4,08000280,0000001e,00000002,00000000,000002e6,a736
